0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
305.894,205.413,0.755282,307.265,257.603,0.876076,266.756,257.664,0.79945,240.652,311.121,0.741104,215.844,298.072,0.873784,348.999,256.326,0.827434,364.624,324.187,0.768287,337.219,358.119,0.829919,304.589,382.906,0.612033,277.196,381.64,0.61751,279.83,467.778,0.510719,0.0,0.0,0.0,329.37,382.942,0.589811,328.129,466.454,0.469972,0.0,0.0,0.0,298.07,196.301,0.750668,315.061,197.591,0.743869,286.301,204.121,0.587854,328.078,204.149,0.872128,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
300.673,206.721,0.773511,308.466,256.374,0.880869,266.76,257.642,0.794072,238.034,315.037,0.743482,217.137,298.097,0.866502,349.008,256.314,0.828827,364.642,322.878,0.770815,337.223,359.355,0.844047,303.295,381.629,0.605495,277.182,381.604,0.609504,278.511,476.904,0.481744,0.0,0.0,0.0,328.109,381.634,0.597025,328.11,470.382,0.44089,0.0,0.0,0.0,295.462,200.186,0.763414,309.812,200.186,0.76939,285.006,204.175,0.496763,328.054,204.115,0.889866,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
300.685,213.192,0.791217,308.464,257.626,0.869995,266.747,258.932,0.778811,239.337,315.062,0.725237,217.169,298.073,0.875283,349.003,256.343,0.812768,364.643,324.173,0.765208,337.216,359.462,0.835727,303.283,384.219,0.578142,277.214,382.937,0.585055,278.479,476.903,0.497287,0.0,0.0,0.0,328.08,384.225,0.574972,328.062,476.907,0.470859,0.0,0.0,0.0,295.464,204.055,0.771424,309.803,204.056,0.806099,283.745,208.042,0.382025,328.086,205.438,0.862327,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
300.706,206.747,0.763297,308.473,257.597,0.875261,266.769,257.644,0.802167,241.953,313.742,0.739566,217.192,298.052,0.879848,349.019,256.343,0.819137,364.66,322.898,0.762628,337.236,360.684,0.845563,302.002,380.291,0.59529,277.179,378.996,0.60372,277.272,467.754,0.517021,0.0,0.0,0.0,328.085,380.308,0.583433,326.807,466.461,0.448737,0.0,0.0,0.0,296.743,200.188,0.783528,311.112,201.504,0.772267,286.285,204.146,0.489092,328.084,205.422,0.867148,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
302.013,210.611,0.718643,307.268,257.604,0.881629,266.742,257.631,0.813974,241.93,317.604,0.758804,218.462,298.055,0.879399,349.017,256.345,0.831518,365.923,324.186,0.772153,338.489,360.687,0.874945,303.3,379.011,0.582232,277.196,377.697,0.583343,277.261,465.139,0.489627,0.0,0.0,0.0,328.122,380.306,0.58267,328.118,465.142,0.482738,0.0,0.0,0.0,296.727,201.483,0.775649,311.115,202.762,0.750444,285.039,204.175,0.625377,328.097,205.402,0.868903,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
303.32,209.334,0.727607,307.264,257.616,0.879489,266.742,257.666,0.803145,236.759,316.337,0.757685,218.481,298.026,0.870137,349.009,256.333,0.82952,364.654,325.458,0.776017,337.253,359.456,0.858987,304.61,384.214,0.571705,277.24,382.935,0.560295,278.529,476.904,0.468205,0.0,0.0,0.0,329.357,385.511,0.551048,328.126,476.9,0.455686,0.0,0.0,0.0,296.717,201.465,0.766273,312.439,201.516,0.75189,284.992,205.445,0.6597,328.042,205.462,0.815491,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
303.317,211.958,0.753175,307.267,257.607,0.869146,266.739,257.663,0.803335,236.779,317.595,0.761652,222.392,296.827,0.902978,349.017,256.344,0.825941,363.341,324.165,0.773087,338.479,359.429,0.853474,303.314,380.299,0.587566,277.214,380.281,0.582523,278.546,469.062,0.452507,0.0,0.0,0.0,328.117,380.312,0.568767,328.107,469.077,0.46007,0.0,0.0,0.0,296.734,202.823,0.772271,311.137,202.85,0.762322,285.003,205.457,0.622701,326.818,205.421,0.805167,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
303.321,211.925,0.778611,307.255,257.622,0.880295,266.714,258.903,0.797966,235.499,318.918,0.77315,223.644,296.811,0.926259,349.02,256.358,0.827009,363.333,324.168,0.774547,337.249,359.403,0.853368,303.279,380.309,0.604627,277.192,380.295,0.602666,278.49,466.489,0.477453,0.0,0.0,0.0,328.101,380.317,0.595582,326.791,466.469,0.442828,0.0,0.0,0.0,296.755,202.768,0.815826,312.428,202.814,0.800309,286.266,205.425,0.665908,328.047,206.733,0.830417,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
305.894,210.635,0.779899,307.265,257.613,0.874197,266.746,257.64,0.806429,236.714,317.62,0.769502,223.689,296.755,0.903776,349.019,256.366,0.824416,364.633,324.196,0.777752,337.225,359.446,0.85237,303.288,380.32,0.612771,277.179,380.316,0.608816,279.827,466.489,0.448664,0.0,0.0,0.0,328.114,381.585,0.605785,329.361,467.777,0.439111,0.0,0.0,0.0,296.803,202.751,0.82238,315.018,202.77,0.792615,285.043,206.723,0.717308,328.073,206.742,0.844782,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
303.286,210.646,0.730173,307.261,257.632,0.87675,266.733,257.644,0.802673,236.763,317.596,0.743404,224.968,296.732,0.862088,349.013,256.385,0.817575,363.36,325.482,0.782198,337.197,359.393,0.840043,301.976,381.65,0.610427,277.167,382.899,0.61577,278.517,476.902,0.523529,0.0,0.0,0.0,328.064,382.903,0.598693,328.075,476.9,0.463711,0.0,0.0,0.0,296.741,202.759,0.790743,311.151,202.785,0.755822,285.045,206.743,0.599262,328.056,208.007,0.839979,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
